id_amc,QL,lisa_cat,lisa_rotulo,ano
6118,1.1591057731212095,0,Não Significativo,1985
6119,0.8057654648632924,0,Não Significativo,1985
6120,2.04743683694771,3,Baixo-Baixo,1985
6121,17.294187389458287,1,Alto-Alto (Cluster),1985
6122,1.4940548432605345,0,Não Significativo,1985
6123,0.6743414014153989,0,Não Significativo,1985
6125,13.156920642014615,1,Alto-Alto (Cluster),1985
6128,1.1517569757123718,0,Não Significativo,1985
6129,0.2129625242835842,0,Não Significativo,1985
6131,4.123036491460038,0,Não Significativo,1985
6132,14.4073640866281,1,Alto-Alto (Cluster),1985
6133,0.9352410387804828,0,Não Significativo,1985
6134,0.3451411711736096,0,Não Significativo,1985
6135,0.4034521205049395,0,Não Significativo,1985
6136,3.9648776842479463,0,Não Significativo,1985
6137,1.235696861309784,0,Não Significativo,1985
6138,0.134342395540133,3,Baixo-Baixo,1985
6139,11.040322391497046,1,Alto-Alto (Cluster),1985
6143,15.31789501885214,1,Alto-Alto (Cluster),1985
6144,8.657945846318741,1,Alto-Alto (Cluster),1985
6146,2.189916003135304,0,Não Significativo,1985
6147,2.3024080877898783,2,Baixo-Alto,1985
6149,0.1111400641190748,0,Não Significativo,1985
6150,13.173522789113436,1,Alto-Alto (Cluster),1985
6152,11.489418759272375,1,Alto-Alto (Cluster),1985
6153,4.114143667654928,0,Não Significativo,1985
6154,0.2314364557332492,2,Baixo-Alto,1985
6155,10.57508342828235,1,Alto-Alto (Cluster),1985
6156,0.0340078004230933,3,Baixo-Baixo,1985
6159,0.1938448747773459,3,Baixo-Baixo,1985
6160,0.3543082185923697,0,Não Significativo,1985
6161,0.3104152781143247,0,Não Significativo,1985
6162,3.892283507715164,0,Não Significativo,1985
6163,2.0601013947020257,0,Não Significativo,1985
6164,1.6012006032539787,2,Baixo-Alto,1985
6166,0.0252151211717471,3,Baixo-Baixo,1985
6167,7.803820695890256,0,Não Significativo,1985
6168,0.583444774557946,0,Não Significativo,1985
6169,0.358307704168395,0,Não Significativo,1985
7002,0.6351365444134971,0,Não Significativo,1985
7003,1.3930121191520108,0,Não Significativo,1985
7004,1.9031412884390144,0,Não Significativo,1985
7006,2.2200574220156386,0,Não Significativo,1985
7007,0.0729101279460919,0,Não Significativo,1985
7009,0.2156437071432696,0,Não Significativo,1985
7011,0.1542491974419888,3,Baixo-Baixo,1985
7013,0.9109052320733744,0,Não Significativo,1985
7014,1.5490684905898957,0,Não Significativo,1985
7018,0.125023880262417,0,Não Significativo,1985
7019,0.01891790545168,3,Baixo-Baixo,1985
7021,0.8179690351457083,0,Não Significativo,1985
7022,0.7999059388328634,0,Não Significativo,1985
7023,3.0106189873611524,0,Não Significativo,1985
7027,0.4489297057817388,3,Baixo-Baixo,1985
7030,3.173341304452531,0,Não Significativo,1985
7032,0.9925322944673668,0,Não Significativo,1985
7033,0.1980474086086189,3,Baixo-Baixo,1985
7034,0.0671866303391095,0,Não Significativo,1985
7035,0.3302290192705582,3,Baixo-Baixo,1985
7036,0.2181548420153892,0,Não Significativo,1985
7039,0.0295825070741815,3,Baixo-Baixo,1985
7040,0.0366705105124963,3,Baixo-Baixo,1985
7041,0.2044504146573526,3,Baixo-Baixo,1985
7042,0.718005246929608,0,Não Significativo,1985
7043,0.351380051496565,0,Não Significativo,1985
7045,1.1636054073336366,3,Baixo-Baixo,1985
7046,0.8040363544236716,3,Baixo-Baixo,1985
7048,0.4668921385189171,0,Não Significativo,1985
7052,0.4486777104374886,0,Não Significativo,1985
7055,0.6927844828870834,0,Não Significativo,1985
7056,3.649860005225507,0,Não Significativo,1985
7057,2.721718292442941,0,Não Significativo,1985
