id_amc,ql,rendimento_kg_ha,tipologia,ano
1043,0.0,0.0,Não especializado,1985
1044,0.0,0.0,Não especializado,1985
1045,0.0,0.0,Não especializado,1985
1046,0.0,0.0,Não especializado,1985
1047,0.0,0.0,Não especializado,1985
1048,1.1159937187875377,1050.0,Baixa espec. / Alta produt.,1985
1049,1.4599792217147465,2088.6792452830186,Baixa espec. / Alta produt.,1985
1050,2.7727228170991385,1350.1344086021506,Baixa espec. / Alta produt.,1985
1051,1.2018816693330816,1200.0,Baixa espec. / Alta produt.,1985
1052,4.702870563605141,1578.4827586206898,Alta espec. / Alta produt.,1985
1053,0.0,0.0,Não especializado,1985
1054,0.0,0.0,Não especializado,1985
1055,0.03247153644557954,1400.0,Não especializado,1985
1056,0.006301538655587003,2000.0,Não especializado,1985
1057,0.0,0.0,Não especializado,1985
1058,1.8187015725697067,1200.0,Baixa espec. / Alta produt.,1985
1059,6.83324413938462,1825.0889679715303,Alta espec. / Alta produt.,1985
1060,0.0,0.0,Não especializado,1985
1061,1.6242504714601256,1200.445434298441,Baixa espec. / Alta produt.,1985
1062,0.0,0.0,Não especializado,1985
1063,1.1000624166134634,1260.1156069364163,Baixa espec. / Alta produt.,1985
1064,0.8779869740162414,1700.0,Não especializado,1985
1065,0.0,0.0,Não especializado,1985
1066,0.00811804900514296,1500.0,Não especializado,1985
1067,0.0,0.0,Não especializado,1985
1068,0.0,0.0,Não especializado,1985
1069,0.020772332150321884,2200.0,Não especializado,1985
1070,0.0,0.0,Não especializado,1985
1071,8.280241793622784,1318.095238095238,Alta espec. / Alta produt.,1985
1072,0.07356380125156037,1581.4207650273224,Não especializado,1985
1073,5.969741793742252,1872.0763320104704,Alta espec. / Alta produt.,1985
1074,5.949087088005255,1500.0,Alta espec. / Alta produt.,1985
1075,0.4857312476570163,1350.0,Não especializado,1985
1076,0.0,0.0,Não especializado,1985
1077,0.0,0.0,Não especializado,1985
1078,3.195436792984785,1000.0,Baixa espec. / Alta produt.,1985
1079,0.0,0.0,Não especializado,1985
1080,0.2925766256018983,1350.0,Não especializado,1985
1081,9.981893789507222,1425.0,Alta espec. / Alta produt.,1985
1082,0.0,0.0,Não especializado,1985
1083,0.041174618575048,1800.0,Não especializado,1985
1084,5.159371669381366,1860.0,Alta espec. / Alta produt.,1985
1085,0.28000443991512824,750.0,Não especializado,1985
1086,0.00660182019452628,1350.0,Não especializado,1985
1087,0.7529737768506445,1799.849510910459,Não especializado,1985
1088,0.0,0.0,Não especializado,1985
1089,0.0,0.0,Não especializado,1985
1090,0.0,0.0,Não especializado,1985
1091,0.019694136197709905,1666.6666666666667,Não especializado,1985
1092,0.03908590380382985,741.9354838709677,Não especializado,1985
1093,0.0,0.0,Não especializado,1985
1094,1.542774022932074,1800.0,Baixa espec. / Alta produt.,1985
1095,1.1120933801149577,1500.0,Baixa espec. / Alta produt.,1985
1096,0.0,0.0,Não especializado,1985
1097,0.0,0.0,Não especializado,1985
1098,0.0544749457518497,1129.2475728155339,Não especializado,1985
1099,0.0,0.0,Não especializado,1985
1100,0.002210201413367582,1500.0,Não especializado,1985
11001,0.0,0.0,Não especializado,1985
11002,0.0,0.0,Não especializado,1985
11003,0.0,0.0,Não especializado,1985
11004,0.0,0.0,Não especializado,1985
11005,0.0,0.0,Não especializado,1985
11006,0.0,0.0,Não especializado,1985
11007,0.0,0.0,Não especializado,1985
11008,0.0,0.0,Não especializado,1985
11009,0.0,0.0,Não especializado,1985
1101,0.0,0.0,Não especializado,1985
11010,0.0,0.0,Não especializado,1985
11011,0.0,0.0,Não especializado,1985
11012,0.0,0.0,Não especializado,1985
11013,0.0,0.0,Não especializado,1985
11014,0.0,0.0,Não especializado,1985
11015,0.0,0.0,Não especializado,1985
11016,0.0,0.0,Não especializado,1985
11017,0.0,0.0,Não especializado,1985
11018,0.0,0.0,Não especializado,1985
11019,0.0,0.0,Não especializado,1985
1102,0.0,0.0,Não especializado,1985
11020,0.0,0.0,Não especializado,1985
11021,0.0,0.0,Não especializado,1985
11022,0.0,0.0,Não especializado,1985
11023,0.0,0.0,Não especializado,1985
11024,0.0,0.0,Não especializado,1985
11025,0.0,0.0,Não especializado,1985
11026,0.0,0.0,Não especializado,1985
11027,0.0,0.0,Não especializado,1985
11028,0.0,0.0,Não especializado,1985
11029,0.0,0.0,Não especializado,1985
1103,0.7165191245847174,1035.2126226669232,Não especializado,1985
11030,0.0,0.0,Não especializado,1985
11031,0.0,0.0,Não especializado,1985
11032,0.0,0.0,Não especializado,1985
11033,0.0,0.0,Não especializado,1985
11034,0.0,0.0,Não especializado,1985
11035,0.0,0.0,Não especializado,1985
11036,0.0,0.0,Não especializado,1985
11037,0.0,0.0,Não especializado,1985
11038,0.0,0.0,Não especializado,1985
11039,0.0,0.0,Não especializado,1985
1104,0.2334194657188022,1243.9024390243903,Não especializado,1985
11040,0.0,0.0,Não especializado,1985
11041,0.775979793856305,2000.0,Não especializado,1985
11042,0.0,0.0,Não especializado,1985
11043,0.0,0.0,Não especializado,1985
11044,0.0,0.0,Não especializado,1985
11045,0.0,0.0,Não especializado,1985
11046,0.0,0.0,Não especializado,1985
11047,0.0,0.0,Não especializado,1985
11048,0.0,0.0,Não especializado,1985
11049,0.0,0.0,Não especializado,1985
