id_amc,ano,area_colhida_ha,total_area_colhida_ha,QL
10149,1996,0.0,3220.0,0.0
10149,2005,0.0,3510.0,0.0
10149,2024,0.0,229.0,0.0
1015,1985,0.0,287.0,0.0
1015,1996,0.0,1284.0,0.0
1015,2005,0.0,411.0,0.0
1015,2024,0.0,4409.0,0.0
10150,1985,1485.0,7475.0,3.969863617389342
10150,1996,1200.0,2548.0,25.41046710079632
10150,2005,35.0,1717.0,0.913574985513314
10150,2024,24.0,997.0,1.0953646659719825
10151,1985,0.0,2504.0,0.0
10151,1996,0.0,5168.0,0.0
10151,2005,0.0,2142.0,0.0
10151,2024,0.0,721.0,0.0
10152,1985,0.0,3494.0,0.0
10152,1996,0.0,4227.0,0.0
10152,2005,0.0,682.0,0.0
10152,2024,0.0,1113.0,0.0
10153,1985,0.0,2285.0,0.0
10153,1996,0.0,6465.0,0.0
10153,2005,0.0,4350.0,0.0
10153,2024,0.0,10735.0,0.0
10154,1985,0.0,8556.0,0.0
10154,1996,0.0,7710.0,0.0
10154,2005,0.0,7115.0,0.0
10154,2024,0.0,5492.0,0.0
10155,1985,0.0,690.0,0.0
10155,1996,0.0,134.0,0.0
10155,2005,0.0,453.0,0.0
10155,2024,0.0,216.0,0.0
10156,1985,0.0,8900.0,0.0
10156,1996,0.0,7409.0,0.0
10156,2005,0.0,4140.0,0.0
10156,2024,0.0,4039.0,0.0
10157,1985,4.0,1035.0,0.07722892184969914
10157,1996,6.0,189.0,1.7128537082759003
10157,2005,10.0,327.0,1.3705620359339101
10157,2024,0.0,60.0,0.0
10158,1985,0.0,938.0,0.0
10158,1996,0.0,270.0,0.0
10158,2005,0.0,1280.0,0.0
10158,2024,0.0,288.0,0.0
10159,1985,160.0,3874.0,0.8253168210060775
10159,1996,0.0,947.0,0.0
10159,2005,0.0,690.0,0.0
10159,2024,0.0,435.0,0.0
1016,1985,0.0,2113.0,0.0
1016,1996,0.0,3273.0,0.0
1016,2005,0.0,2568.0,0.0
1016,2024,0.0,1117.0,0.0
10160,1985,0.0,5357.0,0.0
10160,1996,0.0,2190.0,0.0
